state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"UTTAR PRADESH",9,FARRUKHABAD,141,5,20441,335,20781
"UTTAR PRADESH",9,GHAZIPUR,146,18,46502,418,46938
"UTTAR PRADESH",9,KANNAUJ,155,6,17421,310,17737
"UTTAR PRADESH",9,"KANPUR NAGAR",157,416,127538,4254,132208
"UTTAR PRADESH",9,MAHARAJGANJ,164,17,30363,386,30766
"UTTAR PRADESH",9,MATHURA,167,78,72448,1176,73702
"UTTAR PRADESH",9,PILIBHIT,173,12,27771,366,28149
"UTTAR PRADESH",9,PRATAPGARH,174,10,35332,376,35718
"UTTAR PRADESH",9,"SANT KABEER NAGAR",178,11,20880,215,21106
UTTARAKHAND,5,DEHRADUN,49,140,92710,1700,94550
"WEST BENGAL",19,COOCHBEHAR,308,14,39805,500,40319
"WEST BENGAL",19,"EAST MEDINIPUR",317,72,103228,1911,105211
"WEST BENGAL",19,MALDA,316,28,59273,784,60085
"WEST BENGAL",19,NADIA,320,32,75543,1022,76597
"WEST BENGAL",19,PURULIA,321,19,25583,374,25976
CHANDIGARH,4,CHANDIGARH,44,210,47677,1999,49886
DELHI,7,NORTH,80,490,50051,4020,54561
DELHI,7,WEST,85,492,108505,4865,113862
"JAMMU AND KASHMIR",1,ANANTNAG,1,28,44699,339,45066
"JAMMU AND KASHMIR",1,BANDIPORA,623,6,14846,33,14885
"JAMMU AND KASHMIR",1,BUDGAM,2,3,41044,175,41222
"JAMMU AND KASHMIR",1,GANDERBAL,626,4,21917,62,21983
"JAMMU AND KASHMIR",1,KATHUA,7,26,20790,268,21084
"JAMMU AND KASHMIR",1,REASI,627,3,8235,71,8309
PUDUCHERRY,34,PONDICHERRY,600,99,38472,790,39361
