,pincode,RURAL,URBAN
575,566068.0,1,5
576,570067.0,2,2
577,500647.0,1,0
578,695017.0,1,0
579,571125.0,1,0
580,572139.0,2,0
581,573216.0,1,1
582,562177.0,1,0
583,640089.0,1,0
584,562014.0,1,0
585,585314.0,1,1
586,562612.0,1,1
587,571511.0,2,4
588,572214.0,1,1
589,416410.0,1,0
590,585101.0,1,3
591,570015.0,1,1
592,563161.0,3,0
593,569973.0,1,1
594,560031.0,2,23
595,635810.0,1,0
596,635118.0,1,1
597,591123.0,1,0
598,577519.0,2,1
599,582112.0,1,0
600,567114.0,1,0
601,577419.0,1,0
602,587301.0,1,1
603,571232.0,1,2
604,585302.0,1,0
605,562015.0,1,1
606,580048.0,1,0
607,560301.0,1,0
608,560205.0,1,0
609,635103.0,1,2
610,570017.0,2,6
611,573112.0,2,1
612,500051.0,1,0
613,571234.0,1,3
614,585316.0,1,1
615,564646.0,1,0
616,573144.0,1,0
617,562006.0,1,0
618,571438.0,1,2
619,577140.0,1,0
620,571424.0,1,1
621,562134.0,1,0
622,411033.0,1,0
623,574213.0,2,0
624,550070.0,1,0
625,567007.0,1,0
626,572107.0,3,6
627,551203.0,2,0
628,462114.0,1,0
629,561223.0,1,0
630,635105.0,1,1
631,572128.0,2,6
632,570022.0,1,4
633,501236.0,1,0
634,590016.0,1,1
635,635110.0,1,0
636,571428.0,1,4
637,585222.0,2,1
638,577597.0,1,1
639,571301.0,1,0
640,577201.0,1,8
641,570062.0,1,2
642,523226.0,1,0
643,571105.0,2,4
644,572222.0,1,1
645,571204.0,2,0
646,570105.0,2,2
647,571444.0,1,3
648,556006.0,1,0
649,565120.0,1,0
650,500083.0,1,0
651,577136.0,1,0
652,591102.0,1,0
653,562167.0,1,3
654,585104.0,1,4
655,591156.0,1,0
656,577101.0,1,3
657,560118.0,1,0
658,590099.0,2,0
659,173211.0,1,0
660,573103.0,1,0
661,360004.0,1,0
662,577429.0,1,0
663,395006.0,1,0
664,573214.0,1,1
665,502130.0,1,0
666,575005.0,1,0
667,562423.0,2,0
668,572215.0,1,1
669,562166.0,1,3
670,560144.0,1,0
671,573142.0,1,0
672,635206.0,1,0
673,411052.0,1,0
674,571405.0,1,3
675,562562.0,1,0
676,560832.0,1,1
677,841421.0,1,0
678,573102.0,1,3
679,174101.0,1,0
680,462129.0,1,0
681,577526.0,1,1
