,NIC5digitId,BENGALURU (URBAN),Activity
206,13934,16,Manufacture of carpets made of synthetic materials
207,13935,35,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
208,13939,12,Manufacture of other floor coverings n.e.c.
209,13941,52,"Manufacture of thread, including thread ball making"
210,13942,21,Manufacture of cordage or rope made of jute
211,13943,62,Manufacture of cordage or rope made of coir
212,13944,23,Manufacture of rope and cordage made of synthetic material
213,13945,44,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)"
214,13946,43,"Manufacture of tapes, newar and wicks"
215,13949,41,Manufacture of other cordage or rope n.e.c.
216,13991,564,Embroidery work and making of laces and fringes
217,13992,111,Zari work and other ornamental trimmings
218,13993,6,Manufacture of linolium and similar products
219,13994,7,Manufacture of gas mantles
220,13995,34,"Manufacture of made-up canvas goods such tents, sails etc."
221,13996,182,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
222,13997,47,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
223,13998,39,Manufacture of waterproof textile excluding tarpulin
224,13999,2752,Manufacture of other textiles/textile products n.e.c.
225,14101,3185,Manufacture of all types of textile garments and clothing accessories
226,14102,78,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
227,14103,223,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
228,14104,187,Manufacture of wearing apparel made of leather and substitutes of leather
229,14105,6804,Custom tailoring
230,14109,614,Manufacture of wearing apparel n.e.c.
231,14201,149,Manufacture of wearing apparel and clothing accessories made of fur
232,14202,18,Manufacture of fur and skin rugs and other similar articles
233,14209,30,Manufacture of other fur products n.e.c.
234,14301,126,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
235,14309,144,Manufacture of other knitted and crocheted apparel including hosiery
236,15111,78,Flaying and curing of raw hides and skins
237,15112,220,Tanning and finishing of sole leather
238,15113,315,Tanning and finishing of industrial leather
239,15114,180,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
240,15115,482,"Finishing of upper leather, lining leather and garment leather etc."
241,15116,98,Embroidering and embossing of leather articles
242,15119,224,"Other tanning, curing, finishing, embossing etc. of leather"
243,15121,572,"Manufacture of travel goods like suitcase, bags, holdalls etc."
244,15122,655,"Manufacture of purse, ladies' handbags, artistic leather presented articles and novelties"
245,15123,33,Manufacture of saddlery and harness
246,15129,305,Manufacture of other consumer goods of leather and substitutes of leather n.e.c.
247,15201,664,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
248,15202,73,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
249,15209,250,Manufacture of other footwear n.e.c.
250,16101,330,Sawing and planing of wood
251,16102,54,Manufacture of unassembled wooden flooring including parquet flooring
252,16103,8,Manufacture of wooden railway sleepers
253,16109,175,Activities related to saw milling and planing of wood n.e.c.
254,16211,333,Manufacture of ply wood and veneer sheets
255,16212,142,Manufacture of particle board and fibreboard including densified wood
256,16213,244,Manufacture of flush doors and other boards or panels
257,16219,453,Manufacture of other plywood products n.e.c.
258,16221,460,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
259,16222,96,"Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
260,16229,428,Manufacture of builders' carpentry and joinery n.e.c.
261,16231,280,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
262,16232,59,Manufacture of plywood chests
263,16233,34,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
264,16239,64,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
265,16291,202,Manufacture of wooden industrial goods
266,16292,31,Manufacture of cork and cork products
267,16293,25,Manufacture of wooden agricultural implements
268,16294,52,"Manufacture of various articles made of bamboo, cane and grass"
269,16295,56,Manufacture of broomsticks
270,16296,126,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
271,16297,19,Manufacture of products of pith and shalapith
272,16299,847,Manufacture of other wood products n.e.c.
273,17011,23,Manufacture of pulp
274,17012,38,Manufacture of news print
275,17013,112,Manufacture of paper and paper rolls not further processed
276,17014,194,Manufacture of packing paper
