,NIC5digitId,BENGALURU (RURAL),Activity
776,46499,226,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]"
777,46511,142,Wholesale of computers and computer peripheral equipment
778,46512,42,Wholesale of software
779,46521,54,"Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and printed circuits"
780,46522,41,"Wholesale of radio, television and other consumer electronics including CD/DVD players and recorders"
781,46523,4,"Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs) and parts"
782,46524,306,"Wholesale of telephone, mobile phone and communications equipment and parts"
783,46529,183,Wholesale of other electronic equipments and parts thereof
784,46531,2,Wholesale of tractors used in agriculture and forestry
785,46532,6,"Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers"
786,46533,6,"Wholesale of milking machines, poultry-keeping machines, bee-keeping machines"
787,46539,19,Wholesale of other agriculture machinery n.e.c.
788,46591,33,"Wholesale of office machinery and equipment, except computers and computer peripheral equipment"
789,46592,17,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles"
790,46593,180,"Wholesale of electrical machinery, equipment and supplies, n.e.c."
791,46594,56,Wholesale of construction and civil engineering machinery and equipment
792,46595,26,"Wholesale of machinery and equipment for the textile, wood and metal industries etc."
793,46596,94,"Wholesale of scientific, medical and surgical machinery and equipment"
794,46599,75,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines"
795,46610,75,"Wholesale of solid, liquid and gaseous fuels and related products"
796,46620,237,Wholesale of metals and metal ores
797,46631,40,Wholesale of wood in the rough and products of primary processing of wood
798,46632,228,"Wholesale of construction materials (sand, gravel etc.)"
799,46633,243,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools"
800,46634,63,"Wholesale of paints, varnishes, and lacquers"
801,46639,159,Wholesale of other construction equipment n.e.c.
802,46691,39,"Wholesale of industrial chemicals,"
803,46692,25,Wholesale of fertilizers and agrochemical products
804,46693,69,Wholesale of plastic materials in primary forms
805,46694,17,Wholesale of rubber
806,46695,25,Wholesale of textile fibres etc.
807,46696,63,Wholesale of paper in bulk
808,46697,5,Wholesale of precious stones
809,46699,519,Wholesale of metal and non-metal waste and scrap n.e.c.
810,46901,122,Wholesale trade via e-commerce excluding activities of commission agents
811,46909,761,Other non-specialised wholesale trade n.e.c.
812,47110,539,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
813,47190,882,Other retail sale in non-specialized stores
814,47211,523,"Retail sale of cereals and pulses, tea, coffee, spices and flour"
815,47212,535,Retail sale of fresh or preserved fruit and vegetables
816,47213,394,"Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof"
817,47214,279,"Retail sale of bakery products, dairy products and eggs"
818,47215,73,Retail sale of sugar confectionery and sweetmeat
819,47219,859,Retail sale of other food products n.e.c.
820,47221,16,Retail sale of alcoholic beverages not consumed on the spot
821,47222,117,Retail sale of non-alcoholic beverages including icecream not for consumption on the premises
822,47230,10,Retail sale of tobacco products in specialized stores
823,47300,92,Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.
824,47411,253,Retail sale of computers and computer peripherals
825,47412,10,Retail sale of video games
826,47413,29,Retail sale of non-customized software
827,47414,149,Retail sale of telecommunication equipment
828,47420,67,Retail sale of audio and video equipment in specialized stores
829,47510,702,Retail sale of textiles in specialized stores
830,47521,206,"Retail sale of building material such as bricks, wood, sanitary equipment"
831,47522,306,"Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments"
832,47523,50,Retail sale of glass
833,47531,36,"Retail sale of carpets, rugs, curtains and net curtains"
834,47532,33,Retail sale of wallpaper and floor coverings
835,47591,150,Retail sale of household furniture
836,47592,63,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery"
837,47593,62,"Retail sale of gas stoves, cooking/kitchen appliances"
838,47594,230,"Retail sale of refrigerators, washing machines and other electrical/electronic household goods"
839,47595,9,Retail sale of musical instruments
840,47599,192,"Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)"
841,47611,105,Retail sale of books of all kinds
842,47612,36,Retail sale of newspapers and magazines
843,47613,391,"Retail sale of stationery office supplies such as pens, pencils, paper etc."
844,47620,12,Retail sale of music and video recordings in specialized stores
845,47630,52,Retail sale of sporting equipment in specialized stores
846,47640,141,Retail sale of games and toys in specialized stores
847,47711,671,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc."
848,47712,15,Retail sale of articles of fur and artificial fur
849,47713,114,Retail sale of footwear
850,47714,88,Retail sale of leather goods and travel accessories of leather and leather substitutes
851,47721,460,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles"
852,47722,138,Retail sale of perfumery and cosmetic articles
853,47731,31,"Retail sale of photographic, optical and precision equipment"
854,47732,35,Retail sale of watches and clocks
855,47733,153,Retail sale of jewellery and immitation jewellery
856,47734,129,"Retail sale of flowers, plants, pet animals and pet food"
857,47735,43,"Retail sale of souvenirs, craftwork and religious articles, stamps and coins"
858,47736,29,"Retail sale of household fuel oil, bottled gas, coal and fuel wood"
859,47737,28,"Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools"
860,47738,19,Activities of commercial art galleries
861,47739,81,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)"
862,47740,95,Retail sale of second-hand goods
863,47810,131,"Retail sale via stalls and markets of food, beverages and tobacco products"
864,47820,195,"Retail sale via stalls and markets of textiles, clothing and footwear"
865,47890,189,Retail sale via stalls and markets of other goods
866,47911,52,Retail sale via mail order houses
867,47912,258,Retail sale via e-commerce
868,47990,631,"Other retail sale not in stores, stalls or markets"
869,49110,349,Passenger rail transport
870,49120,117,Freight rail transport
871,49211,1678,Urban or suburban passenger bus transport (excluding chartered bus)
872,49212,59,Urban or suburban tramways
873,49213,22,Urban or suburban underground or elevated rillways
874,49219,234,Other urban or suburban passenger transport n.e.c.
875,49221,57,Long-distance bus services
876,49222,15,"Charters, excursions and other occasional coach services"
877,49223,284,Rental of private cars with driver
878,49224,498,Taxi operation
879,49225,47,Operation of school buses and buses for transport of employees
880,49226,75,Passenger transport by man- or animal-drawn vehicles
881,49229,211,Other non urban passenger land transport n.e.c.
882,49231,1622,Motorised road freight transport
883,49232,232,Non-motorised road freight transport
884,49300,2153,Transport via pipeline
885,50111,86,Sea and coastal ferry service
886,50112,41,"Sea and coastal water cruise, water taxis and other sight seeing boats"
887,50113,27,Sea and coastal long distance water transport
888,50119,48,Other sea and coastal water transport n.e.c.
889,50120,216,Sea and coastal freight water transport
890,50211,7,River ferry service
891,50212,12,"River cruise, water taxi, boat services"
892,50213,27,Long distance river water transport
893,50219,157,Other inland water transport n.e.c.
894,50220,240,Inland freight water transport
895,51101,44,Passenger airways
896,51102,5,Helicopter services
897,51109,14,Other passenger air-transport n.e.c
898,51201,193,Freight air transport services
899,51202,5,Launching of satellites and space vehicles and space transport
900,52101,80,Warehousing of refrigerated (cold storage)
901,52102,117,Warehousing non-refrigerated
902,52109,400,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]"
903,52211,27,Car parking including motorcycle and bicycle parking
904,52212,17,"Support service at railway stations, bus stations, bridges etc."
905,52213,10,Switching and shunting
906,52219,381,Other land transport services n.e.c
907,52220,83,Service activities incidental to water transportation
908,52231,26,"Activities related to air transport of passengers, animals or freight"
909,52232,30,Firefighting and fire-prevention services at airports
910,52241,275,Cargo handling incidental to land transport
911,52242,123,Cargo handling incidental to water transport
912,52243,108,Cargo handling incidental to air transport
913,52291,217,Activities of travel agents and tour operators
914,52292,308,Activities of shipping cargo agents
915,52293,394,Activities of movers and packers
916,52294,169,Weighing of goods
917,53100,94,Postal activities
918,53200,412,Courier activities
919,55101,305,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats"
920,55102,81,"Provision of short term lodging facilities to members of a particular organisition such as govt. guest houses, company guest houses, circuit houses and similar establishments"
921,55109,137,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)"
922,55200,19,"Camping grounds, recreational vehicle parks and trailer parks"
923,55901,62,"Accommodation provided by student residences, school dormitories"
924,55902,220,Worker hostels and boarding houses
925,56101,945,Restaurants without bars
926,56102,1489,"Cafeterias, fast-food restaurants and other food preparation in market stalls"
927,56103,229,"Ice cream mobile vendors, mobile food carts"
928,56104,119,"Restaurant and bar activities connected to transportation, when carried out by separate units"
929,56210,1022,Event catering
930,56291,2673,Activities of food service contractors (e.g. for transportation companies)
931,56292,910,"Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis"
932,56301,61,Bars and Restaurants with bars
933,56302,694,Tea/coffee shops
934,56303,729,Fruit juice bars
935,56304,472,Mobile beverage vendors
936,58111,270,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)"
937,58112,17,"Publishing of atlases, maps and charts"
938,58113,29,Publishing of audio books
939,58121,17,Publishing of mailing lists and telephone directories
940,58122,15,"Publishing of other directories and compilations, such as case law, pharmaceutical compendia etc."
941,58131,67,Publishing of newspapers
942,58132,67,Publishing of journals and periodicals
943,58191,49,On-line publishing of statistics and other information
944,58199,250,Other publishing activities (including on-line) n.e.c.
945,58201,110,Publishing of operating systems and system software
946,58202,86,Publishing of operating business and other applications
947,58203,33,Publishing of computer games for all platforms
948,59111,217,Production of motion picture
949,59112,219,Video production
950,59113,180,Production of television programmes or television commercials
951,59121,79,Post production activities of motion picture
952,59122,70,Post production activities of television programmes or television commercials
953,59123,87,Post production activities of video production
954,59131,83,Motion picture distribution
955,59132,36,"Distribution of video tapes, CD and DVDs"
956,59133,46,Distribution of television programme
957,59141,120,"Motion picture or video tape projection in cinemas, in the open air or in other projection facilities"
958,59142,25,Activities of cine-clubs
959,59201,183,Activities of sound recording in studio or elsewhere
960,59202,81,Activities of misic publishing
961,60100,29,Radio broadcasting
962,60200,145,This class includes creation
963,61101,86,"Activities of basic telecom services: telephone, telex and telegraph (includes the activities of STD/ISD booths)"
964,61102,103,Maintenance of telecom network
965,61103,94,Activities of the cable operators
966,61104,91,Activities of providing internet access by the operator of the wired infrastructure
967,61201,67,Activities of Internet access by the operator of the wireless infrastructure
968,61202,102,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks"
969,61209,135,Activities of other wireless telecommunications activities
970,61301,20,Activity of Internet access by the operator of the satellite infrastructure
971,61309,27,Other satellite telecommunications activities
972,61900,462,Other telecommunications activities
973,62011,376,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing"
974,62012,326,Web-page designing
975,62013,646,Providing software support and maintenance to the clients
976,62020,530,Computer consultancy and computer facilities management activities
977,62091,341,Software installation
978,62092,40,Computer disaster recovery
979,62099,1277,Other information technology and computer service activities n.e.c
980,63111,140,Data processing activities including report writing
981,63112,114,Web hosting activities
982,63113,40,Providing general time-share mainframe facilities to clients
983,63114,108,Providing data entry services
984,63119,193,"Other data processing, hosting and related activities n.e.c."
985,63121,136,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
986,63122,158,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content"
987,63910,71,News agency activities
988,63991,85,Telephone based information services
989,63992,53,Activities of cyber café
990,63999,715,Other information service activities n.e.c.
991,64192,12,Activities of specialized institutions granting credit for house purchases that also take deposits
992,64199,74,Other monetary intermediation services n.e.c.
993,64200,16,Activities of holding companies
994,64300,70,"Trusts, funds and other financial vehicles"
995,64910,95,Financial leasing
996,64920,58,Other credit granting
997,64990,1042,"Other financial service activities, except insurance and pension funding activities, n.e.c"
998,65110,156,Life insurance
999,65120,104,Non-life insurance
1000,65200,32,Reinsurance
1001,65300,9,Pension funding
1002,66110,142,Administration of financial markets
1003,66120,82,Security and commodity contracts brokerage
1004,66190,283,Activities auxiliary to financial service activities n.e.c.
1005,66210,19,Risk and damage evaluation
1006,66220,151,Activities of insurance agents and brokers
1007,66290,133,Other activities auxiliary to insurance and pension funding
1008,66301,44,Management of mutual funds
1009,66302,6,Management of pension funds
1010,66309,284,Management of other investment funds
1011,68100,865,Real estate activities with own or leased property
1012,68200,1008,Real estate activities on a fee or contract basis
1013,69100,268,Legal activities
1014,69201,725,"Accounting, bookkeeping and auditing activities"
1015,69202,638,Tax consultancy
1016,70100,80,Activities of head offices
1017,70200,1206,Management consultancy activities
1018,71100,1358,Architectural and engineering activities and related technical consultancy
1019,71200,276,Technical testing and analysis
1020,72100,168,Research and experimental development on natural sciences and engineering
1021,72200,53,Research and experimental development on social sciences and humanities
1022,73100,780,Advertising
1023,73200,153,Market research and public opinion polling
1024,74101,437,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods"
1025,74102,566,Activities of interior decorators
1026,74103,185,Services of graphic designers
1027,74109,338,Other specialized design activities n.e.c.
1028,74201,196,Commercial and consumer photograph production
1029,74202,106,Photographic film processing
1030,74203,16,Activities of photojournalists
1031,74204,16,Microfilming of documents
1032,74209,347,Other photographic activities
1033,74901,158,Business brokerage activities
1034,74902,8,Patent brokerage activities
1035,74903,3,Weather forecasting activities
1036,74904,52,Security consulting
1037,74909,2122,"Other professional, scientific and technical activities n.e.c."
1038,75000,90,Veterinary activities
1039,77100,267,Renting and leasing of motor vehicles
1040,77210,19,Renting and leasing of recreational and sports goods
1041,77220,20,Renting of video tapes and disks
1042,77291,126,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, household electrical and electronic equipments etc."
1043,77292,11,"Renting of books, journals and magazines"
1044,77293,31,"Renting of jewellery, musical instruments, scenery and costumes"
1045,77294,24,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, household goods"
1046,77299,127,Renting of other personal and household goods n.e.c.
1047,77301,50,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries"
1048,77302,20,Renting and operational leasing of agricultural and forestry machinery and equipment without operator
1049,77303,111,Renting and operational leasing of construction and civil-engineering machinery and equipment without operator
1050,77304,44,Renting and operational leasing of office machinery and equipment without operator
1051,77305,29,Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers
1052,77306,9,Renting and operational leasing of water-transport equipment without operator
1053,77307,6,Renting and operational leasing of air transport equipment without operator
1054,77308,20,"Renting of other tangible goods with out operator (includes renting of containers, pallets, animals etc.)"
1055,77309,204,Renting and leasing of other machinery and equipment n.e.c. without operator
1056,77400,82,Leasing of nonfinancial intangible assets
1057,78100,649,Activities of employment placement agencies
1058,78200,359,Temporary employment agency activities
1059,78300,601,Human resources provision and management of human resources functions
1060,79110,1758,Travel agency activities
1061,79120,568,Tour operator activities
1062,79900,521,Other reservation service and related activities
1063,80100,278,Private security activities
1064,80200,214,Security systems service activities
1065,80300,55,Investigation activities
1066,81100,548,Combined facilities support activities
1067,81210,288,General cleaning of buildings
1068,81291,18,"Cleaning of trains buses, planes etc."
1069,81292,37,Cleaning of industrial machinery
1070,81299,316,Other building and industrial cleaning activities
1071,81300,533,Landscape care and maintenance service activities
1072,82110,176,Combined office administrative service activities
1073,82191,153,"Photocopying, duplicating and bluprinting services"
1074,82192,226,"Document preparation, typing, word processing and desktop publishing sevices"
1075,82199,79,Other specialised office support services activities
1076,82200,67,Activities of call centres
1077,82300,86,Organization of conventions and trade shows
1078,82910,74,Activities of collection agencies and credit bureaus
1079,82920,139,Packaging activities
1080,82990,1793,Other business support service activities n.e.c.
1081,84121,29,Regulatory agencies relating to health
1082,84122,14,Regulatory agencies relating to education
1083,84129,20,Regulatory agencies relating to other social services n.e.c. excluding social security
1084,84130,10,Regulation of and contribution to more efficient operation of businesses
1085,84210,2,Foreign affairs
1086,84220,9,Defence activities
1087,84230,24,Public order and safety activities
1088,84300,10,Compulsory social security activities
1089,85101,113,Pre-primary education (education preceding the first level)
1090,85102,47,Primary education (education at the first level)
1091,85103,10,Provision of literacy programmes for adults at primary level
1092,85104,8,Special education for handicapped students at primary lavel
1093,85109,57,Other primary education activities n.e.c.
1094,85211,51,General school education in the first stage of the secondary level (up to X th standard) without any special subject pre-requisite
1095,85212,73,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving, in principle, access to higher education"
1096,85213,3,Special education for handicapped students at first stage or second stage of secondary level
1097,85221,89,Technical and vocational education below the level of higher education except for handicapped
1098,85222,27,Technical and vocational education for handicapped students below the level of higher education
1099,85223,17,Professional motor driving school
1100,85301,43,"Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent"
1101,85302,43,Higher education in engineering / other technical courses leading to a university degree or equivalent
1102,85303,18,Higher education in medical/bio-technology and related courses leading to a university degree or equivalent
1103,85304,19,Higher education in management courses leading to a degree or equivalent
1104,85305,11,Higher education in law leading to a degree or equivalent
1105,85306,34,Higher education in other professional/ vocational courses leading to a degree or equivalent
1106,85307,22,Higher education not leading to a degree or equivalent
1107,85410,99,Sports and recreation education
1108,85420,86,Cultural education
1109,85491,209,Academic tutoring services
1110,85492,58,Professional examination review courses
1111,85493,5,Flying school
1112,85494,7,Motor driving school (non-professional)
1113,85499,507,Other educational services n.e.c.
1114,85500,751,Educational support services
1115,86100,529,Hospital activities
1116,86201,359,Medical practice activities
1117,86202,219,Dental practice activities
1118,86901,94,Activities of Ayurveda practitioners
1119,86902,9,Activities of Unani practitioners
1120,86903,36,Activities of homeopaths
1121,86904,217,"Activities of nurses, masseures, physiotherapists or other para-medical practitioners"
1122,86905,214,Activities of independent diagnostic/pathological laboratories
1123,86906,8,Activities of independent blood banks
1124,86909,441,Other human health activities n.e.c. (including independent ambulance activities)
1125,87100,74,Nursing care facilities
1126,87200,21,"Residential care activities for mental retardation, mental health and substance abuse"
1127,87300,50,Residential care activities for the elderly and disabled
1128,87900,292,Other residential care activities n.e.c.
1129,88100,51,Social work activities without accommodation for the elderly and disabled
1130,88900,162,Other social work activities without accommodation n.e.c.
1131,90001,154,Stage production and related activities
1132,90002,66,Operation of concert and theatre halls and other arts facilities
1133,90003,87,"Activities of sculptors, painters, cartoonists, engravers, etchers etc."
1134,90004,25,"Activities of individual writers, for all subjects including fictional writing,technical writing etc."
1135,90005,9,Activities of independent journalists
1136,90006,77,Activities of restoring of works of art such as paintings etc.
1137,90009,528,Other creative arts and and entertainment activities
1138,91010,23,Library and archives activities
1139,91020,7,Museums activities and operation of historical sites and buildings
1140,91030,16,Botanical and zoological gardens and nature reserves activities
1141,93110,164,Operation of sports facilities
1142,93120,121,Activities of sports clubs
1143,93190,168,Other sports activities
1144,93210,10,Activities of amusement parks and theme parks
1145,93290,87,Other amusement and recreation activities n.e.c.
1146,94110,28,Activities of business and employers membership organisations
1147,94120,28,Activities of professional membership organizations
1148,94200,27,Activities of trade unions
1149,94910,26,Activities of religious organizations
1150,94920,11,Activities of political organizations
1151,94990,42,Activities of other membership organizations n.e.c.
1152,95111,646,Repair and maintenance of computer and peripheral equipment
1153,95112,74,"Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals, not mechanically operated"
1154,95120,199,Repair of communication equipment
1155,95210,499,Repair of consumer electronics
1156,95221,498,"Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )"
1157,95222,35,"Repair and servicing of home and garden equipment such lawn mowerrs, edgers, trimmers etc."
1158,95230,26,Repair of footwear and leather goods
1159,95240,112,Repair of furniture and home furnishings
1160,95291,49,Repair of bicycles
1161,95292,42,Repair and alteration of clothing
1162,95293,15,Repair and alteration of jewellery
1163,95294,18,"Repair of watches, clocks and their parts"
1164,95295,8,Repair of musical instruments
1165,95299,272,Repair of other personal and household goods n.e.c.
1166,96010,499,Washing and (dry-) cleaning of textile and fur products
1167,96020,1291,Hairdressing and other beauty treatment
1168,96030,52,Funeral and related activities
1169,96091,486,"Social activities such as escort services, marriage bureaus"
1170,96092,84,"Pet care services such as boarding, grooming and training pets etc."
1171,96093,87,"Shoe shiners, porters, valet car parkers etc."
1172,96094,107,"Coin-operated personal service machines such as photo booths, weighing machines, blood pressure checking machines etc."
1173,96095,247,"Activities of sauna and steam baths, massage salons etc."
1174,96096,136,Astrological and spiritualists’ activities
1175,96097,71,"Activities of aaya, dhai, governess, baby sitter etc."
1176,96098,2114,"General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc."
