,NIC5digitId,BENGALURU (RURAL),Activity
210,13942,6,Manufacture of cordage or rope made of jute
211,13943,14,Manufacture of cordage or rope made of coir
212,13944,2,Manufacture of rope and cordage made of synthetic material
213,13945,6,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)"
214,13946,8,"Manufacture of tapes, newar and wicks"
215,13949,11,Manufacture of other cordage or rope n.e.c.
216,13991,90,Embroidery work and making of laces and fringes
217,13992,18,Zari work and other ornamental trimmings
218,13993,2,Manufacture of linolium and similar products
219,13994,0,Manufacture of gas mantles
220,13995,7,"Manufacture of made-up canvas goods such tents, sails etc."
221,13996,38,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
222,13997,8,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
223,13998,7,Manufacture of waterproof textile excluding tarpulin
224,13999,538,Manufacture of other textiles/textile products n.e.c.
225,14101,658,Manufacture of all types of textile garments and clothing accessories
226,14102,29,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
227,14103,57,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
228,14104,38,Manufacture of wearing apparel made of leather and substitutes of leather
229,14105,1110,Custom tailoring
230,14109,107,Manufacture of wearing apparel n.e.c.
231,14201,36,Manufacture of wearing apparel and clothing accessories made of fur
232,14202,3,Manufacture of fur and skin rugs and other similar articles
233,14209,4,Manufacture of other fur products n.e.c.
234,14301,25,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
235,14309,30,Manufacture of other knitted and crocheted apparel including hosiery
236,15111,18,Flaying and curing of raw hides and skins
237,15112,51,Tanning and finishing of sole leather
238,15113,53,Tanning and finishing of industrial leather
239,15114,42,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
240,15115,119,"Finishing of upper leather, lining leather and garment leather etc."
241,15116,25,Embroidering and embossing of leather articles
242,15119,53,"Other tanning, curing, finishing, embossing etc. of leather"
243,15121,126,"Manufacture of travel goods like suitcase, bags, holdalls etc."
244,15122,156,"Manufacture of purse, ladies' handbags, artistic leather presented articles and novelties"
245,15123,8,Manufacture of saddlery and harness
246,15129,80,Manufacture of other consumer goods of leather and substitutes of leather n.e.c.
247,15201,134,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
248,15202,15,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
249,15209,61,Manufacture of other footwear n.e.c.
250,16101,61,Sawing and planing of wood
251,16102,17,Manufacture of unassembled wooden flooring including parquet flooring
252,16103,1,Manufacture of wooden railway sleepers
253,16109,35,Activities related to saw milling and planing of wood n.e.c.
254,16211,55,Manufacture of ply wood and veneer sheets
255,16212,20,Manufacture of particle board and fibreboard including densified wood
256,16213,34,Manufacture of flush doors and other boards or panels
257,16219,103,Manufacture of other plywood products n.e.c.
258,16221,77,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
259,16222,25,"Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
260,16229,79,Manufacture of builders' carpentry and joinery n.e.c.
261,16231,75,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
262,16232,11,Manufacture of plywood chests
263,16233,6,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
264,16239,17,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
265,16291,33,Manufacture of wooden industrial goods
266,16292,6,Manufacture of cork and cork products
267,16293,6,Manufacture of wooden agricultural implements
268,16294,13,"Manufacture of various articles made of bamboo, cane and grass"
269,16295,15,Manufacture of broomsticks
270,16296,27,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
271,16297,3,Manufacture of products of pith and shalapith
272,16299,162,Manufacture of other wood products n.e.c.
273,17011,2,Manufacture of pulp
274,17012,6,Manufacture of news print
275,17013,20,Manufacture of paper and paper rolls not further processed
276,17014,41,Manufacture of packing paper
277,17015,22,Manufacture of other special purpose paper (excluding computer stationary)
278,17016,19,"Manufacture of paper board, straw board"
279,17017,3,Manufacture of hard board including false board and chip board
280,17019,20,Manufacture of other primary paper materials including composite paper and paper board n.e.c.
281,17021,60,Manufacture of corrugated paper and paperboard
282,17022,43,Manufacture of corrugated paper board containers
283,17023,78,Manufacture of card board boxes
284,17024,27,Manufacture of sacks and bags of paper
285,17029,31,Manufacture of other containers of paper and paperboard n.e.c.
286,17091,14,Manufacture of computer paper
287,17092,75,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
288,17093,89,"Manufacture of printing, writing and photocopying paper ready for use"
289,17094,5,Manufacture of paper pulp articles other than containers (such as egg trays)
290,17095,36,"Manufacture of file cover/file boards, and similar articles."
291,17096,3,Manufacture of wall paper
292,17097,67,Manufacture of carbon paper & stationary items
293,17099,146,Manufacture of other paper products n.e.c.
294,18111,14,Printing of newspapers
295,18112,321,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
296,18113,10,"Printing of postage stams, taxation stamps, cheques and other security papers"
297,18114,1,"Printing of bank notes, currency notes"
298,18115,109,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
299,18119,269,Other printing activities like screen printing other than textile n.e.c.
300,18121,122,Book and other similar sheet binding on account of others
301,18122,26,"Engraving, etching and block making etc."
302,18129,371,Other service activities related to printing n.e.c.
303,18200,59,Reproduction of recorded media
304,19101,3,Production of coke and semi-coke products
305,19109,4,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
306,19201,60,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
307,19202,11,Manufacture of paraffin wax
308,19203,5,Bottling of LPG/CNG
309,19204,1,Manufacture of hard-coal and lignite fuel briquettes
310,19209,28,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
311,20111,11,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
312,20112,4,Manufacture of inorganic acids except nitric acid
313,20113,9,Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
314,20114,6,Manufacture of dyes and pigments from any source in basic form or as concentrate
315,20115,0,Manufacture of turpentine and resins of vegetable origin
316,20116,70,Manufacture of basic chemical elements
317,20117,11,Manufacture of distilled water
318,20118,9,Manufacture of synthetic aromatic products
319,20119,52,Manufacture of organic and inorganic chemical compounds n.e.c.
320,20121,18,Manufacture of urea and other organic fertilizers
321,20122,2,"Manufacture of straight mixed, compound or complex inorganic fertilizers"
322,20123,4,"Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
323,20129,22,Manufacture of other fertilizers n.e.c.
324,20131,22,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
325,20132,6,Manufacture of synthetic rubber in primary forms
326,20133,7,Manufacture of mixture of synthetic and natural or rubber like gums
327,20211,24,"Manufacture of insecticides, rodenticides, fungicides, herbicides"
