,NIC5digitId,RAMANAGARA,Activity
179,13119,2,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
180,13121,43,"Weaving, manufacture of cotton and cotton mixture fabrics."
181,13122,13,"Weaving, manufacture of silk and silk mixture fabrics."
182,13123,4,"Weaving, manufacture of wool and wool mixture fabrics."
183,13124,6,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
184,13129,3,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
185,13131,74,Finishing of cotton and blended cotton textiles.
186,13132,20,Finishing of silk and blended silk textiles.
187,13133,5,Finishing of wool and blended wool textiles.
188,13134,16,Finishing of man-made and blended man-made textiles.
189,13135,2,"Finishing of jute, mesta and other vegetable textiles fabrics"
190,13136,6,Activity related to screen printing
191,13139,88,Other activities relating to finishing of textile n.e.c.
192,13911,13,Manufacture of knitted and crocheted cotton fabrics
193,13912,2,Manufacture of knitted and crocheted woolen fabrics
194,13913,3,Manufacture of knitted and crocheted synthetic fabrics
195,13919,4,Manufacture of other knitted and crocheted fabrics
196,13921,14,"Manufacture of curtains, bed covers and furnishings"
197,13922,7,Manufacture of crocheted made up textile goods except apparel
198,13923,7,Manufacture of mosquito nets
199,13924,14,"Manufacture of bedding, quilts pillows, sleeping bags etc."
200,13925,0,Manufacture of tarpaulin
201,13926,1,Manufacture of blankets
202,13929,25,"Manufacture of other made-up textile articles, except apparel n.e.c."
203,13931,4,Manufacture of carpets and other floor coverings made of cotton
204,13932,2,Manufacture of carpets and other floor coverings made of wool
205,13933,1,Manufacture of carpets and other floor coverings made of silk
206,13934,1,Manufacture of carpets made of synthetic materials
207,13935,4,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
208,13939,3,Manufacture of other floor coverings n.e.c.
209,13941,6,"Manufacture of thread, including thread ball making"
210,13942,2,Manufacture of cordage or rope made of jute
211,13943,4,Manufacture of cordage or rope made of coir
212,13944,2,Manufacture of rope and cordage made of synthetic material
213,13945,2,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)"
214,13946,4,"Manufacture of tapes, newar and wicks"
215,13949,4,Manufacture of other cordage or rope n.e.c.
216,13991,29,Embroidery work and making of laces and fringes
217,13992,7,Zari work and other ornamental trimmings
218,13993,1,Manufacture of linolium and similar products
219,13994,0,Manufacture of gas mantles
220,13995,2,"Manufacture of made-up canvas goods such tents, sails etc."
221,13996,9,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
222,13997,5,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
223,13998,3,Manufacture of waterproof textile excluding tarpulin
224,13999,171,Manufacture of other textiles/textile products n.e.c.
225,14101,222,Manufacture of all types of textile garments and clothing accessories
226,14102,11,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
227,14103,20,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
228,14104,12,Manufacture of wearing apparel made of leather and substitutes of leather
229,14105,414,Custom tailoring
230,14109,29,Manufacture of wearing apparel n.e.c.
231,14201,7,Manufacture of wearing apparel and clothing accessories made of fur
232,14202,1,Manufacture of fur and skin rugs and other similar articles
233,14209,3,Manufacture of other fur products n.e.c.
234,14301,9,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
235,14309,5,Manufacture of other knitted and crocheted apparel including hosiery
236,15111,8,Flaying and curing of raw hides and skins
237,15112,16,Tanning and finishing of sole leather
238,15113,20,Tanning and finishing of industrial leather
239,15114,16,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
240,15115,33,"Finishing of upper leather, lining leather and garment leather etc."
241,15116,5,Embroidering and embossing of leather articles
242,15119,16,"Other tanning, curing, finishing, embossing etc. of leather"
243,15121,36,"Manufacture of travel goods like suitcase, bags, holdalls etc."
244,15122,57,"Manufacture of purse, ladies' handbags, artistic leather presented articles and novelties"
245,15123,3,Manufacture of saddlery and harness
246,15129,22,Manufacture of other consumer goods of leather and substitutes of leather n.e.c.
247,15201,42,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
248,15202,3,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
249,15209,24,Manufacture of other footwear n.e.c.
250,16101,18,Sawing and planing of wood
251,16102,7,Manufacture of unassembled wooden flooring including parquet flooring
252,16103,0,Manufacture of wooden railway sleepers
253,16109,10,Activities related to saw milling and planing of wood n.e.c.
254,16211,18,Manufacture of ply wood and veneer sheets
255,16212,10,Manufacture of particle board and fibreboard including densified wood
256,16213,11,Manufacture of flush doors and other boards or panels
257,16219,34,Manufacture of other plywood products n.e.c.
258,16221,24,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
259,16222,12,"Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
260,16229,28,Manufacture of builders' carpentry and joinery n.e.c.
261,16231,22,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
262,16232,3,Manufacture of plywood chests
263,16233,2,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
264,16239,9,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
265,16291,14,Manufacture of wooden industrial goods
266,16292,2,Manufacture of cork and cork products
267,16293,2,Manufacture of wooden agricultural implements
268,16294,4,"Manufacture of various articles made of bamboo, cane and grass"
269,16295,5,Manufacture of broomsticks
270,16296,8,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
271,16297,1,Manufacture of products of pith and shalapith
272,16299,67,Manufacture of other wood products n.e.c.
273,17011,1,Manufacture of pulp
274,17012,1,Manufacture of news print
275,17013,5,Manufacture of paper and paper rolls not further processed
276,17014,12,Manufacture of packing paper
277,17015,5,Manufacture of other special purpose paper (excluding computer stationary)
278,17016,9,"Manufacture of paper board, straw board"
279,17017,0,Manufacture of hard board including false board and chip board
280,17019,8,Manufacture of other primary paper materials including composite paper and paper board n.e.c.
281,17021,20,Manufacture of corrugated paper and paperboard
282,17022,12,Manufacture of corrugated paper board containers
283,17023,15,Manufacture of card board boxes
284,17024,8,Manufacture of sacks and bags of paper
285,17029,13,Manufacture of other containers of paper and paperboard n.e.c.
286,17091,7,Manufacture of computer paper
287,17092,18,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
288,17093,33,"Manufacture of printing, writing and photocopying paper ready for use"
289,17094,1,Manufacture of paper pulp articles other than containers (such as egg trays)
290,17095,11,"Manufacture of file cover/file boards, and similar articles."
291,17096,1,Manufacture of wall paper
292,17097,15,Manufacture of carbon paper & stationary items
293,17099,46,Manufacture of other paper products n.e.c.
294,18111,6,Printing of newspapers
295,18112,97,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
296,18113,5,"Printing of postage stams, taxation stamps, cheques and other security papers"
297,18114,1,"Printing of bank notes, currency notes"
298,18115,37,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
299,18119,90,Other printing activities like screen printing other than textile n.e.c.
300,18121,45,Book and other similar sheet binding on account of others
301,18122,7,"Engraving, etching and block making etc."
302,18129,135,Other service activities related to printing n.e.c.
303,18200,18,Reproduction of recorded media
304,19101,2,Production of coke and semi-coke products
305,19109,1,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
306,19201,20,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
307,19202,5,Manufacture of paraffin wax
308,19203,1,Bottling of LPG/CNG
309,19204,0,Manufacture of hard-coal and lignite fuel briquettes
310,19209,11,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
311,20111,2,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
312,20112,1,Manufacture of inorganic acids except nitric acid
313,20113,3,Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
314,20114,1,Manufacture of dyes and pigments from any source in basic form or as concentrate
315,20115,0,Manufacture of turpentine and resins of vegetable origin
316,20116,24,Manufacture of basic chemical elements
317,20117,4,Manufacture of distilled water
318,20118,2,Manufacture of synthetic aromatic products
319,20119,14,Manufacture of organic and inorganic chemical compounds n.e.c.
320,20121,6,Manufacture of urea and other organic fertilizers
321,20122,1,"Manufacture of straight mixed, compound or complex inorganic fertilizers"
322,20123,0,"Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
323,20129,4,Manufacture of other fertilizers n.e.c.
324,20131,10,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)"
325,20132,1,Manufacture of synthetic rubber in primary forms
326,20133,2,Manufacture of mixture of synthetic and natural or rubber like gums
327,20211,9,"Manufacture of insecticides, rodenticides, fungicides, herbicides"
328,20212,7,Manufacture of disinfectants (for agricultural and other use)
329,20213,3,"Manufacture of anti-sprouting products, plant growth regulators"
330,20219,7,Manufacture of other agrochemical products n.e.c.
331,20221,36,"Manufacture of paints and varnishes, enamels or lacquers"
332,20222,3,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
333,20223,6,Manufacture of printing ink
334,20224,6,Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
335,20229,6,"Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
336,20231,46,Manufacture of soap all forms
337,20232,31,"Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these)"
338,20233,24,Manufacture of detergent and similar washing agents excluding soap
339,20234,6,Manufacture of perfumes and cologne de-eau
340,20235,3,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)"
341,20236,29,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)"
342,20237,56,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)"
343,20238,14,Manufacture of “agarbatti” and other preparations which operate by burning
344,20239,30,Manufacture of other perfumes and toilet preparations n.e.c.
345,20291,0,Manufacture of matches
346,20292,4,"Manufacture of explosives, ammunition and fire works"
347,20293,7,"Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)"
348,20294,4,"Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses"
349,20295,7,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives"
350,20296,1,Manufacture of chemical elements and compounds doped for use in electronics
351,20297,10,"Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
352,20299,24,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
353,20301,0,Manufacture of synthetic or artificial filament tow
354,20302,0,Manufacture of synthetic or artificial filament staple fibre not textured
355,20303,1,"Manufacture of synthetic or artificial filament yarn, tenacity yarn whether or not textured including high tenacity yarn"
356,20304,2,Manufacture of synthetic or artificial mono-filament or strip
357,21001,49,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc."
358,21002,25,Manufacture of allopathic pharmaceutical preparations
359,21003,38,Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation
360,21004,3,Manufacture of homoeopathic or biochemic pharmaceutical preparations
361,21005,3,Manufacture of veterinary preparations
362,21006,16,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc."
363,21009,43,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.
364,22111,13,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft"
365,22112,3,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
366,22113,18,Retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres
367,22119,4,Manufacture of rubber tyres and tubes n.e.c.
368,22191,26,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
369,22192,5,Manufacture of rubber conveyor or transmission belts or belting
370,22193,0,Manufacture of rubber contraceptives
371,22194,1,Manufacture of rubber balloons
372,22199,36,Manufacture of other rubber products n.e.c.
373,22201,20,"Manufacture of semi-finished of plastic proudcts (plastic plates, sheets,blocks,film,foil,strip etc.)"
374,22202,18,"Manufacture of tableware,kitchenware and other houshold articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels"
375,22203,48,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
376,22204,3,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers,flushing cisterns and similar sanitary-ware of plastics"
377,22205,4,"Manufacture of travel goods of plasitcs (suitcase, vanity bags, hoddalls and similar articles)"
378,22206,3,Manufacture of spectacle frames of plastic
379,22207,32,Manufacture of moulded industrial accessories of plastics [including electrical insulating fitting of plastics]
380,22208,23,Manufacture of ploymer/ synthetic / PVC water storage tanks
381,22209,124,Manufacture of other plastics products n.e.c
382,23101,10,"Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass"
383,23102,3,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products"
384,23103,3,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
385,23104,1,Manufacture of laboratory or pharmaceutical glassware
386,23105,4,Manufacture of table or kitchen glassware
387,23106,1,Manufacture of glass bangles
388,23107,1,Manufacture of glass decoration pieces and glassware used in imitation jewellery
389,23109,12,"Manufacture of other glassware/ glass proudcts: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c"
390,23911,4,"manufacture of non-metallic mineral products n.e.c. manufacture of refractory products Manufacture of refractory mortars, concretes etc."
391,23912,11,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
392,23913,3,Manufacture of refractory ceramic products
393,23919,0,Manufacture of other refractory articles n.e.c.
394,23921,19,Manufacture of bricks
395,23922,3,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc."
396,23923,1,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings"
397,23929,11,Manufacture of other clay building materials
398,23931,0,"Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues"
399,23932,2,Manufacture of ceramic tableware and other domestic or toilet articles
400,23933,0,Manufacture of statuettes and other ornamental ceramic articles
401,23934,13,Manufacture of electrical insulators and insulating fittings of ceramics
402,23935,2,"Manufacture of ceramic laboratory, chemical and industrial products"
403,23939,4,Manufacture of ceramic products n.e.c.
404,23941,4,Manufacture of clinkers and cement
405,23942,3,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
406,23943,3,Manufacture of asbestos cement
407,23944,0,"Manufacture of quicklime, slaked lime and hydraulic lime (excluding chewing lime)"
